"id","date","interaction","type"
"55344",2017-04-01,"Adoption","move"
"55345",2017-04-01,"Transfer","move"
"55346",2017-04-01,"Transfer","move"
"55347",2017-04-01,"Transfer","move"
"55348",2017-04-01,"Transfer","move"
"55349",2017-04-01,"Transfer","move"
"55350",2017-04-29,"Transfer","move"
"55351",2017-04-03,"Reclaimed","move"
"55351",2017-04-07,"Adoption","move"
"55352",2017-04-07,"Adoption","move"
"55354",2017-04-28,"Adoption","move"
"55355",2017-04-03,"Transfer","move"
"55357",2017-04-11,"Adoption","move"
"55357",2017-06-27,"Adoption","move"
"55358",2017-05-15,"Adoption","move"
"55359",2017-04-28,"Transfer","move"
"55360",2017-04-07,"Adoption","move"
"55361",2017-04-18,"Adoption","move"
"55362",2017-04-03,"Reclaimed","move"
"55363",2017-04-12,"Adoption","move"
"55364",2017-04-04,"Reclaimed","move"
"55365",2017-04-22,"Adoption","move"
"55366",2017-04-07,"Adoption","move"
"55369",2017-05-15,"Transfer","move"
"55370",2017-04-04,"Foster","move"
"55370",2017-04-18,"Foster","move"
"55370",2017-06-06,"Adoption","move"
"55371",2017-04-04,"Foster","move"
"55371",2017-04-18,"Foster","move"
"55372",2017-04-23,"Adoption","move"
"55373",2017-04-13,"Adoption","move"
"55375",2017-04-17,"Transfer","move"
"55376",2017-04-05,"Foster","move"
"55376",2017-08-31,"Foster","move"
"55376",2017-12-01,"Adoption","move"
"55377",2017-04-05,"Foster","move"
"55377",2017-06-01,"Adoption","move"
"55377",2019-11-06,"Adoption","move"
"55378",2017-04-05,"Foster","move"
"55378",2017-06-02,"Adoption","move"
"55379",2017-04-05,"Foster","move"
"55379",2017-06-01,"Adoption","move"
"55380",2017-04-05,"Foster","move"
"55380",2017-06-01,"Adoption","move"
"55381",2017-04-18,"Adoption","move"
"55382",2017-04-06,"Foster","move"
"55382",2017-07-06,"Transfer","move"
"55383",2017-04-06,"Foster","move"
"55383",2017-06-18,"Adoption","move"
"55384",2017-04-06,"Foster","move"
"55384",2017-06-07,"Adoption","move"
"55385",2017-04-06,"Foster","move"
"55385",2017-06-23,"Transfer","move"
"55386",2017-04-06,"Foster","move"
"55386",2017-06-21,"Adoption","move"
"55389",2017-04-12,"Adoption","move"
"55391",2017-04-06,"Reclaimed","move"
"55394",2017-04-06,"Reclaimed","move"
"55395",2017-04-13,"Adoption","move"
"55396",2017-03-20,"Foster","move"
"55397",2017-03-20,"Foster","move"
"55398",2017-03-20,"Foster","move"
"55399",2017-03-20,"Foster","move"
"55400",2017-04-06,"Reclaimed","move"
"55401",2017-04-18,"Transfer","move"
"55401",2017-06-29,"Transfer","move"
"55402",2017-05-05,"Adoption","move"
"55404",2017-04-10,"Reclaimed","move"
"55405",2017-05-06,"Adoption","move"
"55409",2017-04-07,"Reclaimed","move"
"55410",2017-04-07,"Reclaimed","move"
"55411",2017-04-07,"Transfer","move"
"55412",2017-04-07,"Transfer","move"
"55415",2017-04-19,"Adoption","move"
"55416",2017-04-19,"Adoption","move"
"55419",2017-04-07,"Foster","move"
"55419",2017-04-25,"Foster","move"
"55419",2017-06-05,"Adoption","move"
"55420",2017-04-07,"Foster","move"
"55420",2017-04-25,"Foster","move"
"55420",2017-06-02,"Adoption","move"
"55421",2017-04-07,"Foster","move"
"55421",2017-04-25,"Foster","move"
"55421",2017-06-02,"Adoption","move"
"55421",2017-07-09,"Adoption","move"
"55422",2017-04-07,"Foster","move"
"55422",2017-04-25,"Foster","move"
"55422",2017-06-11,"Adoption","move"
"55423",2017-04-07,"Foster","move"
"55423",2017-04-25,"Foster","move"
"55423",2017-06-12,"Adoption","move"
"55425",2017-04-07,"Transfer","move"
"55426",2017-04-07,"Transfer","move"
"55427",2017-04-08,"Transfer","move"
"55428",2017-04-07,"Transfer","move"
"55429",2017-04-07,"Transfer","move"
"55430",2017-04-20,"Adoption","move"
"55433",2017-04-19,"Adoption","move"
"55434",2017-04-22,"Adoption","move"
"55438",2017-05-16,"Adoption","move"
"55439",2017-06-09,"Foster","move"
"55439",2017-08-17,"Adoption","move"
"55439",2017-09-07,"Reclaimed","move"
"55440",2017-04-15,"Adoption","move"
"55441",2017-04-08,"Adoption","move"
"55442",2017-05-19,"Adoption","move"
"55444",2017-04-22,"Adoption","move"
"55445",2017-04-12,"Adoption","move"
"55446",2017-04-17,"Adoption","move"
"55447",2017-04-17,"Reclaimed","move"
"55448",2017-04-11,"Foster","move"
"55448",2017-06-07,"Adoption","move"
"55449",2017-04-11,"Foster","move"
"55449",2017-05-02,"Adoption","move"
"55450",2017-04-11,"Foster","move"
"55450",2017-05-04,"Adoption","move"
"55451",2017-04-11,"Foster","move"
"55451",2017-05-03,"Adoption","move"
