"id","date","movementdate","interaction","type","duration"
"55954",2017-06-14,2017-06-01,"Stray","return",0
"55958",2017-07-28,2017-07-25,"Incompatible with owner lifestyle","return",0
"55961",2017-11-20,2017-06-13,"Moving","return",0
"55963",2017-07-22,2017-07-12,"Stray","return",0
"55963",2017-10-15,2017-07-25,"Stray","return",0
"55964",2017-08-22,2017-05-27,"Stray","return",0
"55965",2017-08-25,2017-05-27,"Stray","return",0
"55969",2017-07-01,2017-06-20,"Allergies","return",0
"55984",2017-06-28,2017-06-17,"Incompatible with owner lifestyle","return",0
"55998",2017-07-21,2017-06-01,"Stray","return",0
"56002",2019-03-07,2017-06-01,"Stray","return",0
"56007",2017-10-03,2017-07-10,"Biting","return",0
"56018",2017-07-31,2017-05-04,"Stray","return",0
"56019",2017-07-31,2017-05-04,"Stray","return",0
"56020",2017-07-31,2017-05-04,"Stray","return",0
"56021",2017-07-31,2017-05-04,"Stray","return",0
"56022",2017-07-31,2017-05-04,"Stray","return",0
"56026",2017-08-25,2017-08-11,"Stray","return",0
"56031",2017-07-02,2017-06-09,"Stray","return",0
"56031",2017-07-23,2017-07-07,"Stray","return",0
"56046",2017-07-02,2017-06-09,"Stray","return",0
"56046",2017-07-23,2017-07-07,"Stray","return",0
"56047",2017-07-02,2017-06-09,"Stray","return",0
"56048",2017-06-29,2017-06-08,"Stray","return",0
"56049",2019-03-16,2017-06-13,"Biting","return",0
"56052",2017-12-12,2017-06-10,"Moving","return",0
"56052",2018-01-27,2017-12-16,"Marriage/Relationship split","return",0
"56053",2017-06-28,2017-06-26,"Incompatible with owner lifestyle","return",0
"56057",2017-06-23,2017-06-08,"Stray","return",0
"56058",2017-06-23,2017-06-08,"Stray","return",0
"56059",2017-06-23,2017-06-08,"Stray","return",0
"56074",2017-06-29,2017-06-08,"Stray","return",0
"56076",2017-06-13,2017-06-08,"Stray","return",0
"56076",2017-06-27,2017-06-24,"Incompatible with owner lifestyle","return",0
"56076",2017-10-07,2017-06-28,"Stray","return",0
"56077",2017-06-20,2017-05-26,"Stray","return",0
"56078",2017-06-20,2017-05-26,"Stray","return",0
