"id","sheltercode","identichipnumber","animalname","animalage","sexname","speciesname","breedname","basecolour","intakeage","interactions","timeinsys","transferin","transferout","adopt","adopt_ct","foster","foster_ct","reclaim","reclaim_ct","return","return_ct","dead","intakedate"
"58843","D1802278","0A113C507A","Max","10 years 7 months.","Male","Dog","Golden Retriever/Mix","Golden",127,2,1,0,0,0,0,0,0,1,1,0,0,0,2018-02-27
"58845","D1802215","981020025771329","Franceen","11 years 10 months.","Female","Dog","Coonhound","Black merle",142,2,19,0,0,1,1,0,0,0,0,0,0,0,2018-02-28
"58846","D1802220","981020025469592","Professor Dumbledore","1 year 2 months.","Male","Dog","Basset Hound/Schnauzer","Brindle",14,4,13,0,0,1,1,1,1,0,0,1,1,0,2018-02-28
"58847","D1802221","981020025476651","Neville","7 years 2 months.","Male","Dog","Coonhound","Tricolour",86,4,52,0,1,1,1,0,0,0,0,1,1,0,2018-02-28
"58848","D1802222","981020025763181","Cooper","1 year 3 months.","Male","Dog","Rat Terrier/Jack Russell Terrier","White and Brown",15,4,14,0,0,1,1,1,1,0,0,1,1,0,2018-02-28
"58850","D1802223","981020025161315","Molly","4 years 1 month.","Female","Dog","Bluetick Coonhound/Heeler","Blue merle",49,6,722,0,0,1,1,1,2,0,0,1,2,0,2018-02-28
"58851","C1803209","981020025695134","Dante","1 year 8 months.","Male","Cat","Domestic Short Hair","Black and Brown",20,2,9,0,0,1,1,0,0,0,0,0,0,0,2018-03-01
"58853","C1803211","981020025671890","Jazz","1 year 7 months.","Female","Cat","Domestic Short Hair","Buff and white",19,2,14,0,0,1,1,0,0,0,0,0,0,0,2018-03-01
"58854","D1803222","981020025505191","Phoenix","1 year 0 months.","Female","Dog","Labrador Retriever","Black",12,2,9,0,0,1,1,0,0,0,0,0,0,0,2018-03-01
"58855","D1803223","981020025488665","Drew","3 years 2 months.","Male","Dog","Pitbull/Shepherd","Brindle",38,2,24,0,0,1,1,0,0,0,0,0,0,0,2018-03-01
"58856","D1803224","0A133F432B","Mr. Bingley","6 years 11 months.","Male","Dog","Border Collie","Black and White",83,4,30,0,0,1,1,1,1,0,0,1,1,0,2018-03-01
"58857","D1803225","","Arianna","3 years 3 months.","Female","Dog","Terrier","Apricot",39,4,3,0,0,0,0,0,0,1,2,1,1,0,2018-03-01
"58858","C1803226","","Cordova","2 years 0 months.","Female","Cat","Domestic Short Hair","Black",24,2,11,0,1,0,0,0,0,0,0,0,0,0,2018-03-01
