"id","intakedate","movementdate","movementtype"
"55362",2017-04-03,2017-04-03,"Reclaimed"
"55363",2017-04-03,2017-04-12,"Adoption"
"55364",2017-04-03,2017-04-04,"Reclaimed"
"55365",2017-04-03,2017-04-22,"Adoption"
"55366",2017-04-03,2017-04-07,"Adoption"
"55369",2017-04-03,2017-05-15,"Transfer"
"55370",2017-04-03,2017-04-04,"Foster"
"55370",2017-04-03,2017-04-18,"Foster"
"55370",2017-04-03,2017-06-06,"Adoption"
"55371",2017-04-03,2017-04-04,"Foster"
"55371",2017-04-03,2017-04-18,"Foster"
"55372",2017-04-03,2017-04-23,"Adoption"
"55373",2017-04-03,2017-04-13,"Adoption"
"55375",2017-04-04,2017-04-17,"Transfer"
"55376",2017-04-04,2017-04-05,"Foster"
"55376",2017-04-04,2017-08-31,"Foster"
"55376",2017-04-04,2017-12-01,"Adoption"
"55377",2017-04-04,2017-04-05,"Foster"
"55377",2017-04-04,2017-06-01,"Adoption"
"55377",2017-04-04,2019-11-06,"Adoption"
"55378",2017-04-04,2017-04-05,"Foster"
"55378",2017-04-04,2017-06-02,"Adoption"
"55379",2017-04-04,2017-04-05,"Foster"
"55379",2017-04-04,2017-06-01,"Adoption"
"55380",2017-04-04,2017-04-05,"Foster"
"55380",2017-04-04,2017-06-01,"Adoption"
"55381",2017-04-04,2017-04-18,"Adoption"
"55382",2017-04-04,2017-04-06,"Foster"
"55382",2017-04-04,2017-07-06,"Transfer"
"55383",2017-04-04,2017-04-06,"Foster"
"55383",2017-04-04,2017-06-18,"Adoption"
"55384",2017-04-04,2017-04-06,"Foster"
"55384",2017-04-04,2017-06-07,"Adoption"
"55385",2017-04-04,2017-04-06,"Foster"
"55385",2017-04-04,2017-06-23,"Transfer"
"55386",2017-04-04,2017-04-06,"Foster"
"55386",2017-04-04,2017-06-21,"Adoption"
"55389",2017-04-04,2017-04-12,"Adoption"
"55391",2017-04-05,2017-04-06,"Reclaimed"
"55394",2017-04-05,2017-04-06,"Reclaimed"
"55395",2017-04-05,2017-04-13,"Adoption"
"55396",2017-03-18,2017-03-20,"Foster"
"55397",2017-03-18,2017-03-20,"Foster"
"55398",2017-03-18,2017-03-20,"Foster"
"55399",2017-03-18,2017-03-20,"Foster"
"55400",2017-04-06,2017-04-06,"Reclaimed"
"55401",2017-04-06,2017-04-18,"Transfer"
"55401",2017-04-06,2017-06-29,"Transfer"
"55402",2017-04-06,2017-05-05,"Adoption"
"55404",2017-04-06,2017-04-10,"Reclaimed"
"55405",2017-04-06,2017-05-06,"Adoption"
"55409",2017-04-06,2017-04-07,"Reclaimed"
"55410",2017-04-07,2017-04-07,"Reclaimed"
"55411",2017-04-07,2017-04-07,"Transfer"
"55412",2017-04-07,2017-04-07,"Transfer"
"55415",2017-04-07,2017-04-19,"Adoption"
"55416",2017-04-07,2017-04-19,"Adoption"
"55419",2017-03-31,2017-04-07,"Foster"
"55419",2017-03-31,2017-04-25,"Foster"
"55419",2017-03-31,2017-06-05,"Adoption"
"55420",2017-03-31,2017-04-07,"Foster"
"55420",2017-03-31,2017-04-25,"Foster"
"55420",2017-03-31,2017-06-02,"Adoption"
"55421",2017-03-31,2017-04-07,"Foster"
"55421",2017-03-31,2017-04-25,"Foster"
"55421",2017-03-31,2017-06-02,"Adoption"
"55421",2017-03-31,2017-07-09,"Adoption"
"55422",2017-03-31,2017-04-07,"Foster"
"55422",2017-03-31,2017-04-25,"Foster"
"55422",2017-03-31,2017-06-11,"Adoption"
"55423",2017-03-31,2017-04-07,"Foster"
"55423",2017-03-31,2017-04-25,"Foster"
"55423",2017-03-31,2017-06-12,"Adoption"
"55425",2017-04-07,2017-04-07,"Transfer"
"55426",2017-04-07,2017-04-07,"Transfer"
"55427",2017-04-07,2017-04-08,"Transfer"
"55428",2017-04-07,2017-04-07,"Transfer"
"55429",2017-04-07,2017-04-07,"Transfer"
"55430",2017-04-07,2017-04-20,"Adoption"
"55433",2017-04-07,2017-04-19,"Adoption"
"55434",2017-04-08,2017-04-22,"Adoption"
"55438",2017-04-08,2017-05-16,"Adoption"
"55439",2017-04-08,2017-06-09,"Foster"
"55439",2017-04-08,2017-08-17,"Adoption"
"55439",2017-04-08,2017-09-07,"Reclaimed"
"55440",2017-04-08,2017-04-15,"Adoption"
"55441",2017-04-08,2017-04-08,"Adoption"
"55442",2017-04-09,2017-05-19,"Adoption"
"55444",2017-04-09,2017-04-22,"Adoption"
"55445",2017-04-09,2017-04-12,"Adoption"
"55446",2017-04-10,2017-04-17,"Adoption"
"55447",2017-04-10,2017-04-17,"Reclaimed"
"55448",2017-04-10,2017-04-11,"Foster"
"55448",2017-04-10,2017-06-07,"Adoption"
"55449",2017-04-10,2017-04-11,"Foster"
"55449",2017-04-10,2017-05-02,"Adoption"
"55450",2017-04-10,2017-04-11,"Foster"
"55450",2017-04-10,2017-05-04,"Adoption"
"55451",2017-04-10,2017-04-11,"Foster"
"55451",2017-04-10,2017-05-03,"Adoption"
"55452",2017-04-10,2017-04-11,"Foster"
"55452",2017-04-10,2017-05-02,"Adoption"
"55453",2017-04-10,2017-04-19,"Adoption"
"55454",2017-04-10,2017-04-15,"Adoption"
"55455",2017-04-10,2017-04-17,"Adoption"
"55456",2018-11-27,2017-04-20,"Adoption"
"55456",2018-11-27,2017-05-12,"Adoption"
"55456",2018-11-27,2018-12-13,"Adoption"
"55456",2018-11-27,2019-03-15,"Adoption"
"55456",2018-11-27,2019-04-02,"Foster"
"55456",2018-11-27,2019-04-16,"Adoption"
"55456",2018-11-27,2019-04-17,"Reclaimed"
"55456",2018-11-27,2019-04-30,"Reclaimed"
"55456",2018-11-27,2019-05-04,"Foster"
"55456",2018-11-27,2019-06-06,"Adoption"
"55458",2017-04-10,2017-05-05,"Adoption"
"55462",2017-04-10,2017-04-24,"Adoption"
"55463",2017-04-11,2017-04-26,"Adoption"
"55464",2017-04-11,2017-04-12,"Reclaimed"
"55465",2017-04-11,2017-04-12,"Transfer"
"55466",2017-04-11,2017-04-11,"Reclaimed"
"55468",2017-04-11,2017-04-10,"Transfer"
"55469",2017-04-11,2017-04-22,"Adoption"
"55470",2017-04-11,2017-04-22,"Adoption"
"55473",2017-04-11,2017-04-12,"Transfer"
"55475",2017-04-11,2017-06-02,"Adoption"
"55475",2017-04-11,2019-07-13,"Adoption"
"55476",2017-04-11,2017-04-19,"Adoption"
"55477",2017-04-11,2017-04-19,"Adoption"
"55478",2017-04-11,2017-04-19,"Adoption"
"55479",2017-04-12,2017-04-12,"Reclaimed"
"55482",2017-04-12,2017-04-22,"Adoption"
"55484",2017-04-12,2017-04-12,"Reclaimed"
"55485",2017-04-12,2017-04-12,"Reclaimed"
"55485",2017-04-12,2018-02-03,"Reclaimed"
"55490",2017-04-13,2017-04-23,"Adoption"
"55493",2017-04-15,2017-05-10,"Adoption"
"55495",2017-04-15,2017-04-17,"Foster"
"55495",2017-04-15,2017-05-05,"Adoption"
"55496",2017-04-15,2017-04-17,"Foster"
"55496",2017-04-15,2017-05-05,"Adoption"
"55497",2017-04-15,2017-04-17,"Foster"
"55497",2017-04-15,2017-05-05,"Adoption"
"55498",2017-04-15,2017-04-17,"Foster"
"55498",2017-04-15,2017-05-06,"Adoption"
"55499",2017-04-15,2017-04-17,"Foster"
"55499",2017-04-15,2017-05-06,"Adoption"
"55500",2017-04-15,2017-05-26,"Adoption"
"55501",2017-04-15,2017-05-05,"Adoption"
"55502",2017-04-15,2017-05-20,"Adoption"
"55503",2017-04-15,2017-04-23,"Adoption"
"55504",2017-04-15,2017-06-12,"Foster"
